,bite date,SpeciesIDDesc,BreedIDDesc,GenderIDDesc,color,vaccination year,vaccination date,victim zip,AdvIssuedYNDesc,WhereBittenIDDesc,quarantine date,DispositionIDDesc,head sent date,release date,ResultsIDDesc
0,1985-05-05 00:00:00,DOG,UNIDENTIFIED,F,LIG. BROWN,1.0,1985-06-20 00:00:00,1985-05-05 00:00:00,0.0,BODY,1985-05-05 00:00:00,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED
3,1988-10-02 00:00:00,DOG,UNIDENTIFIED,M,BLA & BRO,1.4409857328145266,UNIDENTIFIED,1990-10-02 00:00:00,0.0,BODY,1990-10-02 00:00:00,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED
4,1989-08-29 00:00:00,DOG,UNIDENTIFIED,F,BLK-WHT,1.4409857328145266,UNIDENTIFIED,UNIDENTIFIED,0.0,BODY,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED
6,1990-02-08 00:00:00,DOG,UNIDENTIFIED,F,BLACK/WHIT,1.0,1990-02-13 00:00:00,1990-02-12 00:00:00,0.0,BODY,1990-02-12 00:00:00,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED
7,1990-02-22 00:00:00,DOG,UNIDENTIFIED,M,BLK-WHT,1.4409857328145266,UNIDENTIFIED,1990-02-23 00:00:00,0.0,BODY,1990-02-23 00:00:00,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED
8,1990-08-02 00:00:00,DOG,UNIDENTIFIED,M,BROWN,1.4409857328145266,UNIDENTIFIED,1990-08-02 00:00:00,0.0,BODY,1990-08-02 00:00:00,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED
10,1990-08-31 00:00:00,DOG,UNIDENTIFIED,M,TRI,1.4409857328145266,UNIDENTIFIED,1990-09-04 00:00:00,0.0,HEAD,1990-09-04 00:00:00,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED
11,1990-10-20 00:00:00,DOG,UNIDENTIFIED,M,BLK,1.4409857328145266,UNIDENTIFIED,1990-10-22 00:00:00,0.0,BODY,1990-10-22 00:00:00,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED
12,1991-02-09 00:00:00,DOG,UNIDENTIFIED,M,BLK-BRN,1.4409857328145266,UNIDENTIFIED,1991-02-13 00:00:00,0.0,BODY,1991-02-13 00:00:00,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED
13,1991-07-05 00:00:00,DOG,UNIDENTIFIED,M,BLK-BRN,1.4409857328145266,UNIDENTIFIED,1991-07-09 00:00:00,1.0,BODY,1991-07-09 00:00:00,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED,UNIDENTIFIED
