,bite date,SpeciesIDDesc,BreedIDDesc,GenderIDDesc,color,vaccination year,vaccination date,victim zip,AdvIssuedYNDesc,WhereBittenIDDesc,quarantine date,DispositionIDDesc,head sent date,release date,ResultsIDDesc
0,1985-05-05 00:00:00,DOG,PIT BULL,F,LIG. BROWN,1.0,1985-06-20,40229,NO,BODY,1985-05-05,UNKNOWN,2010-05-21 00:00:00,2016-07-05,UNKNOWN
1,1986-02-12 00:00:00,DOG,PIT BULL,M,BRO & BLA,1.4527189927672113,2015-10-01,40218,NO,BODY,1986-02-12,UNKNOWN,2010-05-21 00:00:00,2016-07-05,UNKNOWN
2,1987-05-07 00:00:00,DOG,PIT BULL,M,BLACK,1.4527189927672113,2015-10-01,40219,NO,BODY,1990-05-07,UNKNOWN,2010-05-21 00:00:00,2016-07-05,UNKNOWN
3,1988-10-02 00:00:00,DOG,PIT BULL,M,BLA & BRO,1.4527189927672113,2015-10-01,40272,NO,BODY,1990-10-02,UNKNOWN,2010-05-21 00:00:00,2016-07-05,UNKNOWN
4,1989-08-29 00:00:00,DOG,PIT BULL,F,BLK-WHT,1.4527189927672113,2015-10-01,40272,NO,BODY,2010-04-05,UNKNOWN,2010-05-21 00:00:00,2016-07-05,UNKNOWN
5,1989-11-24 00:00:00,DOG,PIT BULL,M,BLACK,1.4527189927672113,2015-10-01,40211,NO,BODY,2010-04-05,UNKNOWN,2010-05-21 00:00:00,2016-07-05,UNKNOWN
6,1990-02-08 00:00:00,DOG,PIT BULL,F,BLACK/WHIT,1.0,1990-02-13,40203,NO,BODY,1990-02-12,UNKNOWN,2010-05-21 00:00:00,2016-07-05,UNKNOWN
7,1990-02-22 00:00:00,DOG,PIT BULL,M,BLK-WHT,1.4527189927672113,2015-10-01,40272,NO,BODY,1990-02-23,RELEASED,2010-05-21 00:00:00,2016-07-05,UNKNOWN
8,1990-08-02 00:00:00,DOG,PIT BULL,M,BROWN,1.4527189927672113,2015-10-01,40272,NO,BODY,1990-08-02,UNKNOWN,2010-05-21 00:00:00,2016-07-05,UNKNOWN
9,1990-08-19 00:00:00,DOG,PIT BULL,M,BRN-TAN,1.4527189927672113,2015-10-01,40272,NO,BODY,1990-08-20,RELEASED,2010-05-21 00:00:00,2016-07-05,UNKNOWN
10,1990-08-31 00:00:00,DOG,PIT BULL,M,TRI,1.4527189927672113,2015-10-01,40272,NO,HEAD,1990-09-04,RELEASED,2010-05-21 00:00:00,2016-07-05,UNKNOWN
11,1990-10-20 00:00:00,DOG,PIT BULL,M,BLK,1.4527189927672113,2015-10-01,40272,NO,BODY,1990-10-22,RELEASED,2010-05-21 00:00:00,2016-07-05,UNKNOWN
12,1991-02-09 00:00:00,DOG,PIT BULL,M,BLK-BRN,1.4527189927672113,2015-10-01,40272,NO,BODY,1991-02-13,RELEASED,2010-05-21 00:00:00,2016-07-05,UNKNOWN
13,1991-07-05 00:00:00,DOG,PIT BULL,M,BLK-BRN,1.4527189927672113,2015-10-01,40272,YES,BODY,1991-07-09,RELEASED,2010-05-21 00:00:00,2016-07-05,UNKNOWN
14,1991-09-14 00:00:00,DOG,PIT BULL,M,WHT,1.4527189927672113,2015-10-01,40272,NO,BODY,1991-09-19,RELEASED,2010-05-21 00:00:00,2016-07-05,UNKNOWN
15,1991-10-09 00:00:00,DOG,PIT BULL,F,WHT-BRN,1.4527189927672113,2015-10-01,40272,NO,HEAD,1991-10-11,RELEASED,2010-05-21 00:00:00,2016-07-05,UNKNOWN
16,1991-11-07 00:00:00,DOG,PIT BULL,M,BLACK,1.4527189927672113,2015-10-01,40272,NO,BODY,1991-11-14,RELEASED,2010-05-21 00:00:00,2016-07-05,UNKNOWN
17,1992-02-08 00:00:00,DOG,PIT BULL,M,BLK,1.4527189927672113,2015-10-01,40272,NO,BODY,1992-02-12,UNKNOWN,2010-05-21 00:00:00,2016-07-05,UNKNOWN
18,1992-02-27 00:00:00,DOG,PIT BULL,M,BLK-TAN,1.4527189927672113,2015-10-01,40272,NO,BODY,1992-03-02,RELEASED,2010-05-21 00:00:00,2016-07-05,UNKNOWN
19,1992-03-06 00:00:00,DOG,PIT BULL,M,WHT,1.4527189927672113,2015-10-01,40272,NO,BODY,1992-03-11,RELEASED,2010-05-21 00:00:00,2016-07-05,UNKNOWN
20,1992-03-18 00:00:00,CAT,PIT BULL,M,BLACK,1.4527189927672113,2015-10-01,40272,NO,HEAD,1992-03-24,RELEASED,2010-05-21 00:00:00,2016-07-05,UNKNOWN
21,1992-04-06 00:00:00,DOG,PIT BULL,M,BLK,1.4527189927672113,2015-10-01,40272,NO,BODY,1992-04-08,RELEASED,2010-05-21 00:00:00,2016-07-05,UNKNOWN
22,1992-05-06 00:00:00,DOG,PIT BULL,M,BLK,1.4527189927672113,2015-10-01,40272,NO,BODY,1992-05-09,RELEASED,2010-05-21 00:00:00,2016-07-05,UNKNOWN
23,1992-06-04 00:00:00,DOG,PIT BULL,M,BRN,1.4527189927672113,2015-10-01,40272,NO,BODY,1992-06-10,RELEASED,2010-05-21 00:00:00,2016-07-05,UNKNOWN
24,1992-06-29 00:00:00,DOG,PIT BULL,F,RED,1.4527189927672113,2015-10-01,40272,NO,BODY,1992-06-30,RELEASED,2010-05-21 00:00:00,2016-07-05,UNKNOWN
25,1992-08-06 00:00:00,DOG,PIT BULL,M,WHITE,1.4527189927672113,2015-10-01,40215,NO,BODY,1992-08-06,RELEASED,2010-05-21 00:00:00,2016-07-05,UNKNOWN
26,1992-08-26 00:00:00,DOG,PIT BULL,M,BRN-BLK,1.4527189927672113,2015-10-01,40210,NO,BODY,1992-08-31,RELEASED,2010-05-21 00:00:00,2016-07-05,UNKNOWN
27,1993-04-04 00:00:00,DOG,PIT BULL,M,BLACK,1.4527189927672113,2015-10-01,40272,NO,BODY,1993-04-05,RELEASED,2010-05-21 00:00:00,2016-07-05,UNKNOWN
28,1993-04-06 00:00:00,CAT,PIT BULL,M,BLACK,1.4527189927672113,2015-10-01,40272,NO,BODY,1993-04-19,RELEASED,2010-05-21 00:00:00,2016-07-05,UNKNOWN
29,1993-05-12 00:00:00,DOG,PIT BULL,M,BRN,1.4527189927672113,2015-10-01,40272,NO,HEAD,1993-05-14,RELEASED,2010-05-21 00:00:00,2016-07-05,UNKNOWN
30,1993-06-20 00:00:00,DOG,PIT BULL,M,BLACK,1.4527189927672113,2015-10-01,40272,NO,BODY,1993-06-21,RELEASED,2010-05-21 00:00:00,2016-07-05,UNKNOWN
31,1993-07-09 00:00:00,DOG,PIT BULL,F,BRN,1.4527189927672113,2015-10-01,40272,YES,BODY,1993-07-09,RELEASED,2010-05-21 00:00:00,2016-07-05,UNKNOWN
32,1993-12-04 00:00:00,DOG,PIT BULL,M,BLACK,1.4527189927672113,2015-10-01,40272,NO,BODY,1993-12-06,RELEASED,2010-05-21 00:00:00,2016-07-05,UNKNOWN
33,1994-03-31 00:00:00,DOG,PIT BULL,M,BRN-BLK,1.4527189927672113,2015-10-01,40272,NO,BODY,1994-04-06,RELEASED,2010-05-21 00:00:00,2016-07-05,UNKNOWN
34,1994-04-11 00:00:00,DOG,PIT BULL,M,BLK,1.4527189927672113,2015-10-01,40272,NO,BODY,1994-04-13,RELEASED,2010-05-21 00:00:00,2016-07-05,UNKNOWN
35,1994-05-08 00:00:00,DOG,PIT BULL,M,BLACK,1.4527189927672113,2015-10-01,40272,NO,BODY,1994-05-09,RELEASED,2010-05-21 00:00:00,2016-07-05,UNKNOWN
36,1994-05-10 00:00:00,DOG,PIT BULL,F,MULT COLOR,1.4527189927672113,2015-10-01,40272,NO,HEAD,1994-05-13,RELEASED,2010-05-21 00:00:00,2016-07-05,UNKNOWN
37,1994-05-22 00:00:00,DOG,PIT BULL,M,TRI,1.4527189927672113,2015-10-01,40272,NO,BODY,1994-05-24,RELEASED,2010-05-21 00:00:00,2016-07-05,UNKNOWN
38,1994-06-10 00:00:00,DOG,PIT BULL,M,BLACK,1.4527189927672113,2015-10-01,40272,NO,BODY,1994-06-15,RELEASED,2010-05-21 00:00:00,2016-07-05,UNKNOWN
39,1994-07-21 00:00:00,DOG,PIT BULL,M,BLACK,1.4527189927672113,2015-10-01,40272,NO,BODY,1994-07-21,RELEASED,2010-05-21 00:00:00,2016-07-05,UNKNOWN
40,2009-10-29 00:00:00,CAT,PIT BULL,F,GRAY,1.4527189927672113,2015-10-01,40206,NO,BODY,2009-10-30,UNKNOWN,2010-05-21 00:00:00,2016-07-05,UNKNOWN
41,2009-12-02 00:00:00,DOG,PIT BULL,M,TAN-BRN,1.0,2010-01-16,40291,NO,BODY,2009-12-03,RELEASED,2010-05-21 00:00:00,2016-07-05,UNKNOWN
42,2009-12-11 00:00:00,DOG,PIT BULL,M,BLK-BRN,1.4527189927672113,2015-10-01,40272,NO,BODY,2009-12-11,RELEASED,2010-05-21 00:00:00,2016-07-05,UNKNOWN
